t,"C(t,t) [nats/use]",p(x1),p(x2),p(x3)
0,0.085819314054,0.333333333333,0.333333333333,0.333333333333
1,0.087756915676,0.343316933334,0.312645261587,0.344037805079
2,0.089549506642,0.352789252475,0.293094815481,0.354115932045
3,0.091205947169,0.361761676929,0.274657189166,0.363581133906
4,0.092735263559,0.370248280955,0.257298928367,0.372452790678
5,0.094146410076,0.378265109446,0.240980286895,0.380754603659
6,0.095448096455,0.385829599477,0.225657206669,0.388513193855
7,0.096648669116,0.392960116092,0.211282943296,0.395756940612
8,0.097756034924,0.399675580469,0.197809371962,0.402515047569
9,0.098777617693,0.405995172219,0.185188014148,0.408816813633
10,0.099720339195,0.411938091175,0.173370826772,0.414691082053
11,0.100590617975,0.417523367196,0.162310793324,0.420165839480
12,0.101394380655,0.422769709042,0.151962353000,0.425267937958
13,0.102137081647,0.427695385432,0.142281699379,0.430022915188
14,0.102823728155,0.432318132850,0.133226975637,0.434454891513
15,0.103458908189,0.436655085769,0.124758388931,0.438586525300
16,0.104046819899,0.440722725785,0.116838262579,0.442439011636
17,0.104591301075,0.444536846679,0.109431041213,0.446032112108
18,0.105095857975,0.448112532911,0.102503261054,0.449384206035
19,0.105563692974,0.451464149342,0.096023495005,0.452512355653
20,0.105997730681,0.454605340286,0.089962280138,0.455432379576
21,0.106400642353,0.457549036198,0.084292033493,0.458158930309
22,0.106774868528,0.460307466526,0.078986960745,0.460705572729
23,0.107122639869,0.462892177438,0.074022961180,0.463084861381
24,0.107445996266,0.465314053290,0.069377531584,0.465308415126
25,0.107746804279,0.467583340882,0.065029670938,0.467386988179
26,0.108026773003,0.469709675674,0.060959787309,0.469330537016
27,0.108287468489,0.471702109265,0.057149607880,0.471148282855
28,0.108530326806,0.473569137564,0.053582092774,0.472848769662
29,0.108756665867,0.475318729179,0.050241353066,0.474439917755
30,0.108967696135,0.476958353644,0.047112573191,0.475929073165
31,0.109164530289,0.478495009182,0.044181937833,0.477323052985
32,0.109348191972,0.479935249769,0.041436563276,0.478628186955
33,0.109519623685,0.481285211325,0.038864433114,0.479850355561
34,0.109679693933,0.482550636914,0.036454338176,0.480995024911
35,0.109829203678,0.483736900847,0.034195820494,0.482067278659
36,0.109968892177,0.484849031659,0.032079121115,0.483071847226
37,0.110099442265,0.485891733912,0.030095131534,0.484013134553
38,0.110221485144,0.486869408838,0.028235348551,0.484895242610
39,0.110335604712,0.487786173813,0.026491832322,0.485721993865
40,0.110442341501,0.488645880706,0.024857167402,0.486496951891
41,0.110542196238,0.489452133126,0.023324426584,0.487223440290
42,0.110635633094,0.490208302605,0.021887137319,0.487904560076
43,0.110723082628,0.490917543772,0.020539250555,0.488543205672
44,0.110804944467,0.491582808558,0.019275111817,0.489142079625
45,0.110881589754,0.492206859484,0.018089434345,0.489703706170
46,0.110953363374,0.492792282084,0.016977274173,0.490230443742
47,0.111020585986,0.493341496511,0.015934006970,0.490724496518
48,0.111083555887,0.493856768375,0.014955306540,0.491187925085
49,0.111142550703,0.494340218859,0.014037124839,0.491622656302
50,0.111197828951,0.494793834165,0.013175673407,0.492030492427
51,0.111249631465,0.495219474324,0.012367406107,0.492413119569
52,0.111298182697,0.495618881414,0.011609003067,0.492772115518
53,0.111343691925,0.495993687240,0.010897355747,0.493108957013
54,0.111386354352,0.496345420481,0.010229553040,0.493425026479
55,0.111426352121,0.496675513376,0.009602868329,0.493721618294
56,0.111463855252,0.496985307954,0.009014747446,0.493999944600
57,0.111499022498,0.497276061848,0.008462797438,0.494261140714
58,0.111532002142,0.497548953728,0.007944776110,0.494506270162
59,0.111562932730,0.497805088366,0.007458582275,0.494736329359
60,0.111591943746,0.498045501371,0.007002246657,0.494952251972
61,0.111619156237,0.498271163607,0.006573923411,0.495154912982
62,0.111644683394,0.498482985323,0.006171882207,0.495345132470
63,0.111668631088,0.498681820009,0.005794500839,0.495523679152
64,0.111691098362,0.498868467997,0.005440258333,0.495691273670
65,0.111712177896,0.499043679837,0.005107728499,0.495848591664
66,0.111731956432,0.499208159436,0.004795573917,0.495996266647
67,0.111750515170,0.499362567011,0.004502540308,0.496134892681
68,0.111767930135,0.499507521837,0.004227451284,0.496265026879
69,0.111784272521,0.499643604827,0.003969203427,0.496387191747
70,0.111799609008,0.499771360934,0.003726761699,0.496501877367
71,0.111814002058,0.499891301414,0.003499155140,0.496609543446
72,0.111827510191,0.500003905932,0.003285472850,0.496710621218
73,0.111840188238,0.500109624533,0.003084860225,0.496805515242
74,0.111852087584,0.500208879500,0.002896515432,0.496894605068
75,0.111863256389,0.500302067078,0.002719686119,0.496978246803
76,0.111873739796,0.500389559096,0.002553666325,0.497056774579
77,0.111883580122,0.500471704490,0.002397793590,0.497130501921
78,0.111892817045,0.500548830720,0.002251446249,0.497199723031
79,0.111901487763,0.500621245106,0.002114040898,0.497264713995
80,0.111909627162,0.500689236077,0.001985030019,0.497325733904
81,0.111917267954,0.500753074337,0.001863899751,0.497383025912
82,0.111924440821,0.500813013967,0.001750167811,0.497436818222
83,0.111931174541,0.500869293449,0.001643381535,0.497487325017
84,0.111937496105,0.500922136631,0.001543116048,0.497534747321
85,0.111943430836,0.500971753632,0.001448972549,0.497579273819
86,0.111949002488,0.501018341685,0.001360576698,0.497621081617
87,0.111954233347,0.501062085934,0.001277577110,0.497660336956
88,0.111959144322,0.501103160180,0.001199643937,0.497697195884
89,0.111963755032,0.501141727574,0.001126467544,0.497731804882
90,0.111968083886,0.501177941280,0.001057757263,0.497764301458
91,0.111972148159,0.501211945081,0.000993240227,0.497794814692
92,0.111975964061,0.501243873963,0.000932660274,0.497823465764
93,0.111979546804,0.501273854648,0.000875776921,0.497850368431
94,0.111982910666,0.501302006109,0.000822364402,0.497875629489
95,0.111986069045,0.501328440040,0.000772210762,0.497899349198
96,0.111989034517,0.501353261305,0.000725117009,0.497921621686
97,0.111991818885,0.501376568357,0.000680896323,0.497942535320
98,0.111994433228,0.501398453629,0.000639373303,0.497962173068
99,0.111996887944,0.501419003907,0.000600383274,0.497980612820
100,0.111999192795,0.501438300670,0.000563771623,0.497997927708
101,0.112001356942,0.501456420421,0.000529393187,0.498014186392
102,0.112003388986,0.501473434988,0.000497111673,0.498029453339
103,0.112005297000,0.501489411813,0.000466799114,0.498043789073
104,0.112007088564,0.501504414217,0.000438335360,0.498057250423
105,0.112008770793,0.501518501654,0.000411607600,0.498069890746
106,0.112010350365,0.501531729948,0.000386509911,0.498081760141
107,0.112011833551,0.501544151516,0.000362942840,0.498092905644
108,0.112013226239,0.501555815571,0.000340813006,0.498103371423
109,0.112014533953,0.501566768325,0.000320032728,0.498113198947
110,0.112015761884,0.501577053168,0.000300519680,0.498122427153
111,0.112016914901,0.501586710841,0.000282196558,0.498131092601
112,0.112017997580,0.501595779601,0.000264990778,0.498139229621
113,0.112019014212,0.501604295366,0.000248834188,0.498146870446
114,0.112019968831,0.501612291866,0.000233662793,0.498154045341
