t,"C(t+1,t) [nats/use]",p(x1),p(x2),p(x3)
0,0.086804046868,0.343316933334,0.312645261587,0.344037805079
1,0.088668034644,0.352789252475,0.293094815481,0.354115932045
2,0.090391447843,0.361761676929,0.274657189166,0.363581133906
3,0.091983253239,0.370248280955,0.257298928367,0.372452790678
4,0.093452457471,0.378265109446,0.240980286895,0.380754603659
5,0.094807903103,0.385829599477,0.225657206669,0.388513193855
6,0.096058124260,0.392960116092,0.211282943296,0.395756940612
7,0.097211250225,0.399675580469,0.197809371962,0.402515047569
8,0.098274946490,0.405995172219,0.185188014148,0.408816813633
9,0.099256384262,0.411938091175,0.173370826772,0.414691082053
10,0.100162230950,0.417523367196,0.162310793324,0.420165839480
11,0.100998655666,0.422769709042,0.151962353000,0.425267937958
12,0.101771345058,0.427695385432,0.142281699379,0.430022915188
13,0.102485525906,0.432318132850,0.133226975637,0.434454891513
14,0.103145991790,0.436655085769,0.124758388931,0.438586525300
15,0.103757131878,0.440722725785,0.116838262579,0.442439011636
16,0.104322960414,0.444536846679,0.109431041213,0.446032112108
17,0.104847145926,0.448112532911,0.102503261054,0.449384206035
18,0.105333039484,0.451464149342,0.096023495005,0.452512355653
19,0.105783701591,0.454605340286,0.089962280138,0.455432379576
20,0.106201927450,0.457549036198,0.084292033493,0.458158930309
21,0.106590270471,0.460307466526,0.078986960745,0.460705572729
22,0.106951064002,0.462892177438,0.074022961180,0.463084861381
23,0.107286441286,0.465314053290,0.069377531584,0.465308415126
24,0.107598353710,0.467583340882,0.065029670938,0.467386988179
25,0.107888587453,0.469709675674,0.060959787309,0.469330537016
26,0.108158778605,0.471702109265,0.057149607880,0.471148282855
27,0.108410426892,0.473569137564,0.053582092774,0.472848769662
28,0.108644908112,0.475318729179,0.050241353066,0.474439917755
29,0.108863485381,0.476958353644,0.047112573191,0.475929073165
30,0.109067319308,0.478495009182,0.044181937833,0.477323052985
31,0.109257477192,0.479935249769,0.041436563276,0.478628186955
32,0.109434941332,0.481285211325,0.038864433114,0.479850355561
33,0.109600616535,0.482550636914,0.036454338176,0.480995024911
34,0.109755336912,0.483736900847,0.034195820494,0.482067278659
35,0.109899872010,0.484849031659,0.032079121115,0.483071847226
36,0.110034932373,0.485891733912,0.030095131534,0.484013134553
37,0.110161174565,0.486869408838,0.028235348551,0.484895242610
38,0.110279205725,0.487786173813,0.026491832322,0.485721993865
39,0.110389587702,0.488645880706,0.024857167402,0.486496951891
40,0.110492840790,0.489452133126,0.023324426584,0.487223440290
41,0.110589447139,0.490208302605,0.021887137319,0.487904560076
42,0.110679853841,0.490917543772,0.020539250555,0.488543205672
43,0.110764475743,0.491582808558,0.019275111817,0.489142079625
44,0.110843698007,0.492206859484,0.018089434345,0.489703706170
45,0.110917878443,0.492792282084,0.016977274173,0.490230443742
46,0.110987349641,0.493341496511,0.015934006970,0.490724496518
47,0.111052420909,0.493856768375,0.014955306540,0.491187925085
48,0.111113380057,0.494340218859,0.014037124839,0.491622656302
49,0.111170495018,0.494793834165,0.013175673407,0.492030492427
50,0.111224015340,0.495219474324,0.012367406107,0.492413119569
51,0.111274173550,0.495618881414,0.011609003067,0.492772115518
52,0.111321186408,0.495993687240,0.010897355747,0.493108957013
53,0.111365256057,0.496345420481,0.010229553040,0.493425026479
54,0.111406571082,0.496675513376,0.009602868329,0.493721618294
55,0.111445307481,0.496985307954,0.009014747446,0.493999944600
56,0.111481629567,0.497276061848,0.008462797438,0.494261140714
57,0.111515690790,0.497548953728,0.007944776110,0.494506270162
58,0.111547634499,0.497805088366,0.007458582275,0.494736329359
59,0.111577594653,0.498045501371,0.007002246657,0.494952251972
60,0.111605696462,0.498271163607,0.006573923411,0.495154912982
61,0.111632056997,0.498482985323,0.006171882207,0.495345132470
62,0.111656785742,0.498681820009,0.005794500839,0.495523679152
63,0.111679985112,0.498868467997,0.005440258333,0.495691273670
64,0.111701750931,0.499043679837,0.005107728499,0.495848591664
65,0.111722172873,0.499208159436,0.004795573917,0.495996266647
66,0.111741334874,0.499362567011,0.004502540308,0.496134892681
67,0.111759315517,0.499507521837,0.004227451284,0.496265026879
68,0.111776188382,0.499643604827,0.003969203427,0.496387191747
69,0.111792022381,0.499771360934,0.003726761699,0.496501877367
70,0.111806882059,0.499891301414,0.003499155140,0.496609543446
71,0.111820827883,0.500003905932,0.003285472850,0.496710621218
72,0.111833916509,0.500109624533,0.003084860225,0.496805515242
73,0.111846201024,0.500208879500,0.002896515432,0.496894605068
74,0.111857731182,0.500302067078,0.002719686119,0.496978246803
75,0.111868553618,0.500389559096,0.002553666325,0.497056774579
76,0.111878712045,0.500471704490,0.002397793590,0.497130501921
77,0.111888247447,0.500548830720,0.002251446249,0.497199723031
78,0.111897198246,0.500621245106,0.002114040898,0.497264713995
79,0.111905600473,0.500689236077,0.001985030019,0.497325733904
80,0.111913487914,0.500753074337,0.001863899751,0.497383025912
81,0.111920892255,0.500813013967,0.001750167811,0.497436818222
82,0.111927843214,0.500869293449,0.001643381535,0.497487325017
83,0.111934368668,0.500922136631,0.001543116048,0.497534747321
84,0.111940494763,0.500971753632,0.001448972549,0.497579273819
85,0.111946246029,0.501018341685,0.001360576698,0.497621081617
86,0.111951645479,0.501062085934,0.001277577110,0.497660336956
87,0.111956714702,0.501103160180,0.001199643937,0.497697195884
88,0.111961473956,0.501141727574,0.001126467544,0.497731804882
89,0.111965942247,0.501177941280,0.001057757263,0.497764301458
90,0.111970137412,0.501211945081,0.000993240227,0.497794814692
91,0.111974076187,0.501243873963,0.000932660274,0.497823465764
92,0.111977774279,0.501273854648,0.000875776921,0.497850368431
93,0.111981246426,0.501302006109,0.000822364402,0.497875629489
94,0.111984506462,0.501328440040,0.000772210762,0.497899349198
95,0.111987567371,0.501353261305,0.000725117009,0.497921621686
96,0.111990441336,0.501376568357,0.000680896323,0.497942535320
97,0.111993139796,0.501398453629,0.000639373303,0.497962173068
98,0.111995673484,0.501419003907,0.000600383274,0.497980612820
99,0.111998052478,0.501438300670,0.000563771623,0.497997927708
100,0.112000286236,0.501456420421,0.000529393187,0.498014186392
101,0.112002383636,0.501473434988,0.000497111673,0.498029453339
102,0.112004353013,0.501489411813,0.000466799114,0.498043789073
103,0.112006202189,0.501504414217,0.000438335360,0.498057250423
104,0.112007938511,0.501518501654,0.000411607600,0.498069890746
105,0.112009568871,0.501531729948,0.000386509911,0.498081760141
106,0.112011099744,0.501544151516,0.000362942840,0.498092905644
107,0.112012537205,0.501555815571,0.000340813006,0.498103371423
108,0.112013886959,0.501566768325,0.000320032728,0.498113198947
109,0.112015154362,0.501577053168,0.000300519680,0.498122427153
110,0.112016344443,0.501586710841,0.000282196558,0.498131092601
111,0.112017461921,0.501595779601,0.000264990778,0.498139229621
112,0.112018511230,0.501604295366,0.000248834188,0.498146870446
113,0.112019496530,0.501612291866,0.000233662793,0.498154045341
114,0.112020421728,0.501619800771,0.000219416502,0.498160782727
